epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5916,1.82455,13.858,1.79909,0.05399,0.06724,0.05453,0.03374,1.63504,9.86857,1.69765,0.00330033,0.00330033,0.070297
2,65.2312,1.5869,8.00714,1.47474,0.2311,0.22821,0.23239,0.15064,1.61145,8.39995,1.55594,0.00656799,0.00656799,0.0402314
3,96.2155,1.5448,7.53947,1.43313,0.23458,0.29444,0.30173,0.1843,1.65587,10.3905,1.56184,0.00976965,0.00976965,0.0100997
4,127.374,1.57565,7.05608,1.38317,0.26753,0.35829,0.3518,0.20801,1.60684,8.21577,1.58329,0.009703,0.009703,0.009703
5,158.831,1.59724,6.40684,1.41079,0.35327,0.41122,0.42222,0.26761,1.58817,6.49521,1.54678,0.009604,0.009604,0.009604
6,189.853,1.57705,5.66423,1.37995,0.3359,0.40783,0.3856,0.2336,1.58762,8.11358,1.58862,0.009505,0.009505,0.009505
7,220.595,1.59132,5.0335,1.36954,0.37768,0.45313,0.45688,0.27457,1.58234,6.62743,1.49386,0.009406,0.009406,0.009406
8,251.855,1.5701,4.89953,1.38189,0.4636,0.54883,0.54104,0.33448,1.55175,5.3091,1.50013,0.009307,0.009307,0.009307
9,283.528,1.55196,4.3259,1.37581,0.47266,0.59152,0.57879,0.35563,1.59325,5.79436,1.5414,0.009208,0.009208,0.009208
10,314.559,1.51229,4.08564,1.33465,0.52954,0.62149,0.63057,0.39639,1.58091,5.10942,1.51539,0.009109,0.009109,0.009109
11,344.937,1.53751,4.15773,1.35924,0.50127,0.56945,0.58045,0.36743,1.62908,4.37186,1.53857,0.00901,0.00901,0.00901
12,375.126,1.5209,3.82948,1.32618,0.53163,0.46888,0.50247,0.31161,1.52449,4.28023,1.47588,0.008911,0.008911,0.008911
13,406.355,1.52014,3.62322,1.34805,0.54674,0.5832,0.60387,0.38434,1.49791,4.29672,1.45238,0.008812,0.008812,0.008812
14,437.041,1.51459,3.72617,1.34465,0.55224,0.57563,0.59216,0.38385,1.44885,4.32447,1.43634,0.008713,0.008713,0.008713
15,467.713,1.49115,3.59903,1.33429,0.58834,0.58515,0.62894,0.40941,1.57837,3.57075,1.50371,0.008614,0.008614,0.008614
16,498.528,1.46957,3.36438,1.30874,0.61724,0.63339,0.65256,0.42076,1.51281,3.59279,1.43439,0.008515,0.008515,0.008515
17,529.367,1.45719,3.39601,1.30387,0.59822,0.63857,0.64392,0.42223,1.49385,3.53788,1.41747,0.008416,0.008416,0.008416
18,560.158,1.47285,3.40312,1.30508,0.53047,0.61877,0.60736,0.4032,1.51244,3.63325,1.42919,0.008317,0.008317,0.008317
19,590.828,1.47463,3.52752,1.31305,0.57272,0.58979,0.60026,0.38726,1.55488,3.36627,1.44993,0.008218,0.008218,0.008218
20,621.595,1.46296,3.17846,1.3075,0.69467,0.73008,0.74849,0.48946,1.415,2.96086,1.38818,0.008119,0.008119,0.008119
21,652.145,1.4197,3.14161,1.28873,0.62,0.65749,0.66984,0.44437,1.45176,2.91725,1.40484,0.00802,0.00802,0.00802
22,682.696,1.43389,3.10644,1.28409,0.70454,0.69166,0.70402,0.46512,1.44997,3.09827,1.39543,0.007921,0.007921,0.007921
23,713.799,1.43005,3.11708,1.29729,0.64249,0.64385,0.6621,0.42684,1.44356,3.06074,1.37782,0.007822,0.007822,0.007822
24,744.333,1.42101,2.93815,1.27376,0.70162,0.68224,0.7133,0.47414,1.4104,2.80476,1.37128,0.007723,0.007723,0.007723
25,774.704,1.42563,3.06502,1.27045,0.64763,0.64186,0.66193,0.43227,1.46485,3.28029,1.41862,0.007624,0.007624,0.007624
26,805.095,1.39126,2.79786,1.26286,0.72155,0.73325,0.74318,0.4941,1.43672,2.89109,1.3913,0.007525,0.007525,0.007525
27,835.439,1.40217,2.74442,1.27444,0.6437,0.64724,0.67239,0.44561,1.43934,3.0916,1.40387,0.007426,0.007426,0.007426
28,865.959,1.40283,2.95312,1.28015,0.67968,0.70125,0.70739,0.46704,1.51297,2.84136,1.41834,0.007327,0.007327,0.007327
29,896.039,1.38491,2.76406,1.28929,0.6734,0.72636,0.72282,0.50011,1.41635,2.62537,1.36764,0.007228,0.007228,0.007228
30,926.438,1.38485,2.76987,1.27479,0.66499,0.70469,0.71602,0.4836,1.41934,2.79376,1.37799,0.007129,0.007129,0.007129
31,956.494,1.373,2.82056,1.25215,0.65523,0.67599,0.69718,0.47402,1.41163,3.08046,1.35687,0.00703,0.00703,0.00703
32,986.862,1.39569,2.71173,1.25785,0.73422,0.72042,0.74222,0.49599,1.40597,2.55578,1.34958,0.006931,0.006931,0.006931
33,1017.13,1.3711,2.66603,1.24209,0.75167,0.74238,0.75271,0.50829,1.43082,2.73616,1.36996,0.006832,0.006832,0.006832
34,1047.36,1.33763,2.67075,1.23299,0.76226,0.72378,0.75747,0.49826,1.37712,2.57762,1.36329,0.006733,0.006733,0.006733
35,1077.68,1.34777,2.60064,1.25411,0.70725,0.71936,0.73115,0.48753,1.36278,2.46921,1.34672,0.006634,0.006634,0.006634
