epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6017,1.80389,13.8982,1.75369,0.08581,0.08135,0.08213,0.0481,1.58932,12.0706,1.58491,0.00330033,0.00330033,0.070297
2,72.2368,1.55901,8.64008,1.48938,0.19811,0.20181,0.20308,0.12699,1.61615,13.3676,1.60323,0.00597693,0.00597693,0.0396403
3,107.232,1.53165,7.32999,1.4518,0.24889,0.34163,0.32809,0.20981,1.54462,9.97597,1.44936,0.00799353,0.00799353,0.00832356
4,140.829,1.54938,6.13499,1.44237,0.31931,0.389,0.37478,0.24347,1.57759,7.33167,1.47183,0.00703,0.00703,0.00703
5,175.421,1.52792,5.16239,1.44267,0.41829,0.50604,0.48815,0.30598,1.58311,6.24128,1.47559,0.00604,0.00604,0.00604
6,210.437,1.48111,4.26374,1.40795,0.45772,0.62567,0.61344,0.39447,1.50909,5.61392,1.3994,0.00505,0.00505,0.00505
7,246.391,1.47045,3.83669,1.39348,0.56407,0.66227,0.65618,0.41811,1.46712,5.25627,1.3902,0.00406,0.00406,0.00406
8,278.623,1.4357,3.39621,1.35702,0.617,0.68084,0.6797,0.44345,1.48109,3.90852,1.38872,0.00307,0.00307,0.00307
9,314.704,1.39113,3.07615,1.33159,0.63932,0.69171,0.68994,0.46239,1.41298,3.79152,1.35432,0.00208,0.00208,0.00208
10,350.299,1.37172,2.75019,1.31018,0.76104,0.79055,0.77888,0.51392,1.44101,2.87104,1.35166,0.00109,0.00109,0.00109
